id,verification_url,name,x_username,totalPL,ROI,total_capital,date
9104,https://t.co/2koH0VFTxC,Saral_Options,@saral_options,-6040000.0,,,2024-07-04
9092,https://t.co/9ZjuCIpuBn,Destined Musk,@DestinedMusk,-2700000.0,-0.86%,3.13Cr,2024-07-04
9061,https://t.co/zikKpwL9YD,Delta Wise,@delta_wise_,-70764.0,,,2024-07-04
9065,https://t.co/1LT93z6hyG,Ananda Sarkar (amateur Option trader),@AnandaS05944403,-63121.0,,,2024-07-04
9025,https://t.co/ygAivfeQLA,Tanveer Singh,@tanveersingh643,-30965.0,-0.65%,47.88L,2024-07-04
9060,https://t.co/8VLB2h26W9,Compounding with Amol,@amol_2023,-30851.0,,,2024-07-04
9058,https://t.co/oHA3ZdoTtY,suresh v,@sureshv1586,-30166.0,,,2024-07-04
9147,https://t.co/hgZoBtYnAE,DEEPAK ADKINE,@dbadkine,-29611.0,,,2024-07-04
9071,https://t.co/MCTZreaoon,NehaPannu,@NehaPannuRathee,-21706.0,,,2024-07-04
9032,https://t.co/OFQadNh3O6,Asim Ahmed,@asimahmmed,-15925.0,-0.86%,18.54L,2024-07-04
9020,https://t.co/RTZk1tD5sr,vijaykeshrani,@vijaykeshrani,-15892.0,,,2024-07-04
9048,https://t.co/fYYTxKtNWh,KRM,@krmorusu,-15244.0,,,2024-07-04
9131,https://t.co/NxZBkJGz5Q,Gaurav Pratap,@GPSR1,-13269.0,-0.34%,38.63L,2024-07-04
9069,https://t.co/NPgfAGo4Cq,P,@prsinvesting,-12525.0,,,2024-07-04
9056,https://t.co/lEbhIclhBM,Sanjay Chandani,@SanjayChandani9,-10462.0,,,2024-07-04
9030,https://t.co/vQtOEG6hjh,Prakash Bandagar,@PLSubhedar,-7740.0,,,2024-07-04
9035,https://t.co/lO3ovjCHdt,Trader Pratik,@TraderPratik,-7201.0,,,2024-07-04
9116,https://t.co/PK1BqLVeM8,sachin sanchela,@SachinSanchela,-5223.0,,,2024-07-04
